FF;
d1_r0_l49_p99_c99_g99;4.734
d1_r0_l50_p100_c100_g100;2.966
;
SGPLAN40;
d1_r0_l1_p2_c2_g2;0.015
d1_r0_l1_p3_c3_g3;0.003
d1_r0_l2_p4_c4_g4;0.003
d1_r0_l2_p5_c5_g5;0.003
d1_r0_l3_p6_c6_g6;0.005
d1_r0_l3_p7_c7_g7;0.004
d1_r0_l4_p8_c8_g8;0.005
d1_r0_l4_p9_c9_g9;0.005
d1_r0_l5_p10_c10_g10;0.007
d1_r0_l5_p11_c11_g11;0.012
d1_r0_l6_p12_c12_g12;0.007
d1_r0_l6_p13_c13_g13;0.008
d1_r0_l7_p14_c14_g14;0.007
d1_r0_l7_p15_c15_g15;0.018
d1_r0_l8_p16_c16_g16;0.024
d1_r0_l8_p17_c17_g17;0.012
d1_r0_l9_p18_c18_g18;0.024
d1_r0_l9_p19_c19_g19;0.015
d1_r0_l10_p20_c20_g20;0.036
d1_r0_l10_p21_c21_g21;0.05
d1_r0_l11_p22_c22_g22;0.035
d1_r0_l11_p23_c23_g23;0.031
d1_r0_l12_p24_c24_g24;0.089
d1_r0_l12_p25_c25_g25;0.089
d1_r0_l13_p26_c26_g26;0.154
d1_r0_l13_p27_c27_g27;0.182
d1_r0_l14_p28_c28_g28;0.158
d1_r0_l14_p29_c29_g29;0.113
d1_r0_l15_p30_c30_g30;0.134
d1_r0_l15_p31_c31_g31;0.224
d1_r0_l16_p32_c32_g32;0.312
d1_r0_l16_p33_c33_g33;0.184
d1_r0_l17_p34_c34_g34;0.441
d1_r0_l17_p35_c35_g35;0.327
d1_r0_l18_p36_c36_g36;0.312
d1_r0_l18_p37_c37_g37;0.514
d1_r0_l19_p38_c38_g38;0.456
d1_r0_l19_p39_c39_g39;1.194
d1_r0_l20_p40_c40_g40;0.738
d1_r0_l20_p41_c41_g41;1.247
d1_r0_l21_p42_c42_g42;1.138
d1_r0_l21_p43_c43_g43;1.756
d1_r0_l22_p44_c44_g44;0.773
d1_r0_l22_p45_c45_g45;1.996
d1_r0_l23_p46_c46_g46;1.434
d1_r0_l23_p47_c47_g47;2.093
d1_r0_l24_p48_c48_g48;1.273
d1_r0_l24_p49_c49_g49;1.893
d1_r0_l25_p50_c50_g50;3.252
d1_r0_l25_p51_c51_g51;3.399
d1_r0_l26_p52_c52_g52;4.626
d1_r0_l26_p53_c53_g53;3.527
d1_r0_l27_p54_c54_g54;3.444
d1_r0_l27_p55_c55_g55;1.771
d1_r0_l28_p56_c56_g56;5.621
d1_r0_l28_p57_c57_g57;6.453
d1_r0_l29_p58_c58_g58;4.329
d1_r0_l29_p59_c59_g59;7.439
d1_r0_l30_p60_c60_g60;7.404
d1_r0_l30_p61_c61_g61;6.963
d1_r0_l31_p62_c62_g62;8.316
d1_r0_l31_p63_c63_g63;10.746
d1_r0_l32_p64_c64_g64;12.926
d1_r0_l32_p65_c65_g65;9.516
d1_r0_l33_p66_c66_g66;11.765
d1_r0_l33_p67_c67_g67;12.369
d1_r0_l34_p68_c68_g68;13.942
d1_r0_l34_p69_c69_g69;6.867
d1_r0_l35_p70_c70_g70;6.886
d1_r0_l35_p71_c71_g71;20.028
d1_r0_l36_p72_c72_g72;19.616
d1_r0_l36_p73_c73_g73;6.219
d1_r0_l37_p74_c74_g74;24.232
d1_r0_l37_p75_c75_g75;10.086
d1_r0_l38_p76_c76_g76;13.507
d1_r0_l38_p77_c77_g77;13.366
d1_r0_l39_p78_c78_g78;15.175
d1_r0_l39_p79_c79_g79;26.293
d1_r0_l40_p80_c80_g80;31.069
d1_r0_l40_p81_c81_g81;27.809
d1_r0_l41_p82_c82_g82;42.251
d1_r0_l41_p83_c83_g83;31.651
d1_r0_l42_p84_c84_g84;49.614
d1_r0_l42_p85_c85_g85;42.369
d1_r0_l43_p86_c86_g86;41.019
d1_r0_l43_p87_c87_g87;36.954
d1_r0_l44_p88_c88_g88;59.437
d1_r0_l44_p89_c89_g89;28.996
d1_r0_l45_p90_c90_g90;32.488
d1_r0_l45_p91_c91_g91;47.433
d1_r0_l46_p92_c92_g92;24.218
d1_r0_l46_p93_c93_g93;27.299
d1_r0_l47_p94_c94_g94;64.361
d1_r0_l47_p95_c95_g95;71.46
d1_r0_l48_p96_c96_g96;83.087
d1_r0_l48_p97_c97_g97;100.156
d1_r0_l49_p98_c98_g98;84.608
d1_r0_l49_p99_c99_g99;39.423
d1_r0_l50_p100_c100_g100;55.199
;
SATPLAN;
d1_r0_l1_p2_c2_g2;0.011
d1_r0_l1_p3_c3_g3;0.014
d1_r0_l2_p4_c4_g4;0.015
d1_r0_l2_p5_c5_g5;0.012
d1_r0_l3_p6_c6_g6;0.016
d1_r0_l3_p7_c7_g7;0.013
d1_r0_l4_p8_c8_g8;0.022
d1_r0_l4_p9_c9_g9;0.018
d1_r0_l5_p10_c10_g10;0.018
